mika;mika123;mika@gmail.com;Mika;Mikic;10/10/1999;MUSKI;KORISNIK;jova,zika;1;/;7;/;false;false;false
jova;jova123;jova@gmail.com;Jova;Jovic;02/02/2001;MUSKI;KORISNIK;mika,zika,pera;3;/;26;/;false;false;false
aba;ba;ba;ba;ba;01/01/1970;MUSKI;KORISNIK;/;1;/;/;/;false;false;true
test;test123;test@gmail.com;Tet;Test;01/01/1970;MUSKI;KORISNIK;/;1;/;/;/;false;false;false
novi;novi;novi@gmail.com;Novi;Novic;01/01/1970;ZENSKI;KORISNIK;/;1;/;6;/;true;false;false
admin;admin;admin@gmail.com;Admin;Adminic;01/12/1991;MUSKI;ADMINISTRATOR;/;4;/;8,10,11,12,13,14,15,16,17,18,27,28;/;false;false;false
milan;novi;milanm@gmail.com;Milan;Mladenovic;01/01/1970;MUSKI;KORISNIK;pera;6;/;29,30,31;/;true;false;false
test1;test;test1;test;test;01/01/1970;MUSKI;KORISNIK;/;1;/;/;/;false;false;false
marko;marko123;marko@gmail.com;Marko;Draicevic;03/03/2003;MUSKI;KORISNIK;/;1;/;/;/;false;false;false
pera;pera123;pera@gmail.com;Pera;Peric;12/12/2000;MUSKI;KORISNIK;jova,zika,milan;2;/;1,2,3,4,5,9,19,20,21,22,23,24,25;1;false;false;false
asd;asd;asd;asd;asd;01/01/1970;MUSKI;KORISNIK;/;1;/;/;/;false;false;false
ttt;t;tt;t;t;01/01/1970;MUSKI;KORISNIK;/;1;/;/;/;false;false;false
zika;zika123;zika@gmail.com;Zika;Zikanovic;03/03/2003;MUSKI;KORISNIK;mika,jova,pera;1;/;/;/;false;false;false
